585|1058|1059|7
586|1060|1061|7
587|1062|1063|7
588|1064|1065|7
533|1067|1068|6
534|1069|1070|6
232|1072|1073|5
233|1074|1079|5
436|1075|1076|6
437|1077|1078|6
46|1081|1090|4
183|1082|1083|5
184|1084|1089|5
696|1085|1086|6
697|1087|1088|6
47|1091|1100|4
313|1092|1093|5
314|1094|1099|5
479|1095|1096|6
480|1097|1098|6
48|1101|1134|4
191|1102|1129|5
339|1103|1126|6
341|1104|1113|7
352|1105|1106|8
353|1107|1108|8
354|1109|1110|8
355|1111|1112|8
342|1114|1115|7
343|1116|1125|7
933|1117|1118|8
934|1119|1120|8
935|1121|1122|8
936|1123|1124|8
340|1127|1128|6
192|1130|1131|5
193|1132|1133|5
49|1135|1172|4
283|1136|1167|5
292|1137|1138|6
293|1139|1150|6
788|1140|1141|7
789|1142|1147|7
859|1143|1144|8
860|1145|1146|8
790|1148|1149|7
294|1151|1162|6
868|1152|1153|7
869|1154|1155|7
870|1156|1157|7
871|1158|1159|7
872|1160|1161|7
295|1163|1164|6
296|1165|1166|6
284|1168|1169|5
285|1170|1171|5
40|1174|1179|3
114|1175|1176|4
115|1177|1178|4
12|1181|1308|2
24|1182|1195|3
139|1183|1184|4
140|1185|1192|4
686|1186|1187|5
687|1188|1189|5
688|1190|1191|5
141|1193|1194|4
25|1196|1227|3
187|1197|1206|4
967|1198|1199|5
968|1200|1201|5
969|1202|1203|5
970|1204|1205|5
188|1207|1208|4
189|1209|1210|4
190|1211|1226|4
253|1212|1217|5
937|1213|1214|6
938|1215|1216|6
254|1218|1223|5
443|1219|1220|6
444|1221|1222|6
255|1224|1225|5
26|1228|1299|3
134|1229|1276|4
411|1230|1231|5
412|1232|1233|5
413|1234|1275|5
458|1235|1236|6
459|1237|1264|6
491|1238|1253|7
645|1239|1246|8
853|1240|1241|9
854|1242|1243|9
855|1244|1245|9
646|1247|1248|8
647|1249|1250|8
648|1251|1252|8
492|1254|1261|7
779|1255|1256|8
780|1257|1258|8
781|1259|1260|8
493|1262|1263|7
460|1265|1266|6
461|1267|1272|6
897|1268|1269|7
898|1270|1271|7
462|1273|1274|6
135|1277|1278|4
136|1279|1288|4
158|1280|1281|5
159|1282|1283|5
160|1284|1285|5
161|1286|1287|5
137|1289|1296|4
416|1290|1291|5
417|1292|1293|5
418|1294|1295|5
138|1297|1298|4
27|1300|1305|3
724|1301|1302|4
725|1303|1304|4
28|1306|1307|3
4|1310|1337|1
589|1311|1312|2
590|1313|1320|2
903|1314|1315|3
904|1316|1317|3
905|1318|1319|3
591|1321|1336|2
660|1322|1329|3
836|1323|1324|4
837|1325|1326|4
838|1327|1328|4
661|1330|1331|3
662|1332|1333|3
663|1334|1335|3
5|1338|1999|1
17|1339|1340|2
18|1341|1714|2
53|1342|1361|3
256|1343|1344|4
257|1345|1346|4
258|1347|1348|4
259|1349|1354|4
582|1350|1351|5
583|1352|1353|5
260|1355|1360|4
372|1356|1357|5
373|1358|1359|5
54|1362|1385|3
89|1363|1370|4
698|1364|1365|5
699|1366|1367|5
700|1368|1369|5
90|1371|1372|4
91|1373|1382|4
162|1374|1375|5
163|1376|1377|5
164|1378|1379|5
165|1380|1381|5
92|1383|1384|4
55|1386|1417|3
71|1387|1410|4
265|1388|1405|5
336|1389|1390|6
337|1391|1402|6
592|1392|1393|7
593|1394|1395|7
594|1396|1397|7
595|1398|1399|7
596|1400|1401|7
338|1403|1404|6
266|1406|1407|5
267|1408|1409|5
72|1411|1416|4
557|1412|1413|5
558|1414|1415|5
56|1418|1565|3
102|1419|1480|4
239|1420|1421|5
240|1422|1423|5
241|1424|1461|5
344|1425|1426|6
345|1427|1460|6
729|1428|1429|7
730|1430|1441|7
752|1431|1432|8
753|1433|1434|8
754|1435|1436|8
755|1437|1438|8
756|1439|1440|8
731|1442|1447|7
899|1443|1444|8
900|1445|1446|8
732|1448|1457|7
924|1449|1450|8
925|1451|1452|8
926|1453|1454|8
927|1455|1456|8
733|1458|1459|7
242|1462|1463|5
243|1464|1479|5
484|1465|1466|6
485|1467|1478|6
548|1468|1469|7
549|1470|1471|7
550|1472|1473|7
551|1474|1475|7
552|1476|1477|7
103|1481|1532|4
181|1482|1529|5
205|1483|1484|6
206|1485|1486|6
207|1487|1514|6
423|1488|1489|7
424|1490|1491|7
425|1492|1511|7
611|1493|1494|8
612|1495|1506|8
822|1496|1497|9
823|1498|1499|9
824|1500|1501|9
825|1502|1503|9
826|1504|1505|9
613|1507|1508|8
614|1509|1510|8
426|1512|1513|7
208|1515|1526|6
863|1516|1517|7
864|1518|1519|7
865|1520|1521|7
866|1522|1523|7
867|1524|1525|7
209|1527|1528|6
182|1530|1531|5
104|1533|1564|4
389|1534|1535|5
390|1536|1551|5
911|1537|1538|6
912|1539|1550|6
996|1540|1541|7
997|1542|1543|7
998|1544|1545|7
999|1546|1547|7
1000|1548|1549|7
391|1552|1563|5
815|1553|1554|6
816|1555|1556|6
817|1557|1558|6
818|1559|1560|6
819|1561|1562|6
57|1566|1713|3
63|1567|1652|4
212|1568|1569|5
213|1570|1597|5
523|1571|1572|6
524|1573|1574|6
525|1575|1580|6
680|1576|1577|7
681|1578|1579|7
526|1581|1582|6
527|1583|1596|6
642|1584|1591|7
726|1585|1586|8
727|1587|1588|8
728|1589|1590|8
643|1592|1593|7
644|1594|1595|7
214|1598|1633|5
261|1599|1610|6
513|1600|1605|7
605|1601|1602|8
606|1603|1604|8
514|1606|1607|7
515|1608|1609|7
262|1611|1632|6
302|1612|1613|7
303|1614|1615|7
304|1616|1627|7
364|1617|1622|8
873|1618|1619|9
874|1620|1621|9
365|1623|1624|8
366|1625|1626|8
305|1628|1629|7
306|1630|1631|7
215|1634|1643|5
360|1635|1636|6
361|1637|1638|6
362|1639|1640|6
363|1641|1642|6
216|1644|1651|5
326|1645|1646|6
327|1647|1648|6
