graph,query,run,runtime_ms
artificial_trees_truebase_100000_baseline,02_insert_first_child_under_first_root,4,35.620
artificial_trees_truebase_100000_baseline,02_insert_first_child_under_first_root,5,35.536
artificial_trees_truebase_100000_baseline,03_insert_last_root,1,1.698
artificial_trees_truebase_100000_baseline,03_insert_last_root,2,1.608
artificial_trees_truebase_100000_baseline,03_insert_last_root,3,1.582
artificial_trees_truebase_100000_baseline,03_insert_last_root,4,1.514
artificial_trees_truebase_100000_baseline,03_insert_last_root,5,1.546
artificial_trees_truebase_100000_baseline,04_insert_first_root,1,1.684
artificial_trees_truebase_100000_baseline,04_insert_first_root,2,1.450
artificial_trees_truebase_100000_baseline,04_insert_first_root,3,1.046
artificial_trees_truebase_100000_baseline,04_insert_first_root,4,1.420
artificial_trees_truebase_100000_baseline,04_insert_first_root,5,1.503
artificial_trees_truebase_100000_dewey,01_insert_last_child_under_last_root,1,90.508
artificial_trees_truebase_100000_dewey,01_insert_last_child_under_last_root,2,97.349
artificial_trees_truebase_100000_dewey,01_insert_last_child_under_last_root,3,90.773
artificial_trees_truebase_100000_dewey,01_insert_last_child_under_last_root,4,101.149
artificial_trees_truebase_100000_dewey,01_insert_last_child_under_last_root,5,95.469
artificial_trees_truebase_100000_dewey,02_insert_first_child_under_first_root,1,2785.751
artificial_trees_truebase_100000_dewey,02_insert_first_child_under_first_root,2,2748.905
artificial_trees_truebase_100000_dewey,02_insert_first_child_under_first_root,3,2706.851
artificial_trees_truebase_100000_dewey,02_insert_first_child_under_first_root,4,2704.962
artificial_trees_truebase_100000_dewey,02_insert_first_child_under_first_root,5,2704.765
artificial_trees_truebase_100000_dewey,03_insert_last_root,1,2.453
artificial_trees_truebase_100000_dewey,03_insert_last_root,2,2.242
artificial_trees_truebase_100000_dewey,03_insert_last_root,3,2.133
artificial_trees_truebase_100000_dewey,03_insert_last_root,4,2.162
artificial_trees_truebase_100000_dewey,03_insert_last_root,5,2.513
artificial_trees_truebase_100000_dewey,04_insert_first_root,1,2431.552
artificial_trees_truebase_100000_dewey,04_insert_first_root,2,2515.605
artificial_trees_truebase_100000_dewey,04_insert_first_root,3,2521.849
artificial_trees_truebase_100000_dewey,04_insert_first_root,4,2468.514
artificial_trees_truebase_100000_dewey,04_insert_first_root,5,2428.437
artificial_trees_truebase_100000_prepost,01_insert_last_child_under_last_root,1,158.557
artificial_trees_truebase_100000_prepost,01_insert_last_child_under_last_root,2,157.723
artificial_trees_truebase_100000_prepost,01_insert_last_child_under_last_root,3,158.317
artificial_trees_truebase_100000_prepost,01_insert_last_child_under_last_root,4,156.508
artificial_trees_truebase_100000_prepost,01_insert_last_child_under_last_root,5,153.787
artificial_trees_truebase_100000_prepost,02_insert_first_child_under_first_root,1,1440.645
artificial_trees_truebase_100000_prepost,02_insert_first_child_under_first_root,2,1277.543
artificial_trees_truebase_100000_prepost,02_insert_first_child_under_first_root,3,1279.879
artificial_trees_truebase_100000_prepost,02_insert_first_child_under_first_root,4,1284.699
artificial_trees_truebase_100000_prepost,02_insert_first_child_under_first_root,5,1272.988
artificial_trees_truebase_100000_prepost,03_insert_last_root,1,1.728
artificial_trees_truebase_100000_prepost,03_insert_last_root,2,1.432
artificial_trees_truebase_100000_prepost,03_insert_last_root,3,1.365
artificial_trees_truebase_100000_prepost,03_insert_last_root,4,1.340
artificial_trees_truebase_100000_prepost,03_insert_last_root,5,1.317
artificial_trees_truebase_100000_prepost,04_insert_first_root,1,1182.698
artificial_trees_truebase_100000_prepost,04_insert_first_root,2,1184.053
artificial_trees_truebase_100000_prepost,04_insert_first_root,3,1190.367
artificial_trees_truebase_100000_prepost,04_insert_first_root,4,1191.282
artificial_trees_truebase_100000_prepost,04_insert_first_root,5,1207.708
artificial_trees_truebase_10000_baseline,01_insert_last_child_under_last_root,1,6.369
artificial_trees_truebase_10000_baseline,01_insert_last_child_under_last_root,2,6.441
artificial_trees_truebase_10000_baseline,01_insert_last_child_under_last_root,3,5.905
artificial_trees_truebase_10000_baseline,01_insert_last_child_under_last_root,4,6.391
artificial_trees_truebase_10000_baseline,01_insert_last_child_under_last_root,5,6.236
artificial_trees_truebase_10000_baseline,02_insert_first_child_under_first_root,1,6.301
artificial_trees_truebase_10000_baseline,02_insert_first_child_under_first_root,2,5.955
artificial_trees_truebase_10000_baseline,02_insert_first_child_under_first_root,3,5.865
artificial_trees_truebase_10000_baseline,02_insert_first_child_under_first_root,4,5.964
artificial_trees_truebase_10000_baseline,02_insert_first_child_under_first_root,5,6.455
artificial_trees_truebase_10000_baseline,03_insert_last_root,1,1.578
artificial_trees_truebase_10000_baseline,03_insert_last_root,2,1.436
artificial_trees_truebase_10000_baseline,03_insert_last_root,3,1.505
artificial_trees_truebase_10000_baseline,03_insert_last_root,4,1.098
artificial_trees_truebase_10000_baseline,03_insert_last_root,5,1.504
artificial_trees_truebase_10000_baseline,04_insert_first_root,1,1.560
artificial_trees_truebase_10000_baseline,04_insert_first_root,2,1.459
artificial_trees_truebase_10000_baseline,04_insert_first_root,3,1.385
artificial_trees_truebase_10000_baseline,04_insert_first_root,4,1.669
artificial_trees_truebase_10000_baseline,04_insert_first_root,5,1.594
artificial_trees_truebase_10000_dewey,01_insert_last_child_under_last_root,1,15.704
artificial_trees_truebase_10000_dewey,01_insert_last_child_under_last_root,2,15.247
artificial_trees_truebase_10000_dewey,01_insert_last_child_under_last_root,3,15.040
artificial_trees_truebase_10000_dewey,01_insert_last_child_under_last_root,4,14.159
artificial_trees_truebase_10000_dewey,01_insert_last_child_under_last_root,5,11.400
artificial_trees_truebase_10000_dewey,02_insert_first_child_under_first_root,1,186.620
artificial_trees_truebase_10000_dewey,02_insert_first_child_under_first_root,2,179.655
artificial_trees_truebase_10000_dewey,02_insert_first_child_under_first_root,3,168.292
artificial_trees_truebase_10000_dewey,02_insert_first_child_under_first_root,4,177.052
artificial_trees_truebase_10000_dewey,02_insert_first_child_under_first_root,5,178.283
artificial_trees_truebase_10000_dewey,03_insert_last_root,1,2.292
artificial_trees_truebase_10000_dewey,03_insert_last_root,2,2.403
artificial_trees_truebase_10000_dewey,03_insert_last_root,3,2.324
artificial_trees_truebase_10000_dewey,03_insert_last_root,4,2.506
artificial_trees_truebase_10000_dewey,03_insert_last_root,5,2.321
artificial_trees_truebase_10000_dewey,04_insert_first_root,1,163.056
artificial_trees_truebase_10000_dewey,04_insert_first_root,2,164.109
artificial_trees_truebase_10000_dewey,04_insert_first_root,3,163.209
artificial_trees_truebase_10000_dewey,04_insert_first_root,4,161.988
artificial_trees_truebase_10000_dewey,04_insert_first_root,5,162.623
artificial_trees_truebase_10000_prepost,01_insert_last_child_under_last_root,1,14.641
artificial_trees_truebase_10000_prepost,01_insert_last_child_under_last_root,2,18.651
artificial_trees_truebase_10000_prepost,01_insert_last_child_under_last_root,3,18.584
artificial_trees_truebase_10000_prepost,01_insert_last_child_under_last_root,4,18.538
artificial_trees_truebase_10000_prepost,01_insert_last_child_under_last_root,5,19.084
artificial_trees_truebase_10000_prepost,02_insert_first_child_under_first_root,1,120.995
artificial_trees_truebase_10000_prepost,02_insert_first_child_under_first_root,2,108.382
artificial_trees_truebase_10000_prepost,02_insert_first_child_under_first_root,3,108.918
artificial_trees_truebase_10000_prepost,02_insert_first_child_under_first_root,4,109.703
artificial_trees_truebase_10000_prepost,02_insert_first_child_under_first_root,5,108.927
artificial_trees_truebase_10000_prepost,03_insert_last_root,1,2.263
artificial_trees_truebase_10000_prepost,03_insert_last_root,2,2.112
artificial_trees_truebase_10000_prepost,03_insert_last_root,3,1.996
artificial_trees_truebase_10000_prepost,03_insert_last_root,4,2.036
artificial_trees_truebase_10000_prepost,03_insert_last_root,5,1.623
artificial_trees_truebase_10000_prepost,04_insert_first_root,1,100.375
artificial_trees_truebase_10000_prepost,04_insert_first_root,2,100.906
artificial_trees_truebase_10000_prepost,04_insert_first_root,3,100.256
artificial_trees_truebase_10000_prepost,04_insert_first_root,4,102.430
artificial_trees_truebase_10000_prepost,04_insert_first_root,5,100.699
artificial_trees_truebase_1000_baseline,01_insert_last_child_under_last_root,1,2.775
artificial_trees_truebase_1000_baseline,01_insert_last_child_under_last_root,2,2.794
artificial_trees_truebase_1000_baseline,01_insert_last_child_under_last_root,3,2.023
artificial_trees_truebase_1000_baseline,01_insert_last_child_under_last_root,4,2.837
artificial_trees_truebase_1000_baseline,01_insert_last_child_under_last_root,5,2.488
artificial_trees_truebase_1000_baseline,02_insert_first_child_under_first_root,1,2.378
artificial_trees_truebase_1000_baseline,02_insert_first_child_under_first_root,2,2.675
artificial_trees_truebase_1000_baseline,02_insert_first_child_under_first_root,3,2.631
artificial_trees_truebase_1000_baseline,02_insert_first_child_under_first_root,4,2.738
artificial_trees_truebase_1000_baseline,02_insert_first_child_under_first_root,5,2.791
artificial_trees_truebase_1000_baseline,03_insert_last_root,1,1.737
artificial_trees_truebase_1000_baseline,03_insert_last_root,2,1.595
artificial_trees_truebase_1000_baseline,03_insert_last_root,3,1.591
artificial_trees_truebase_1000_baseline,03_insert_last_root,4,1.453
artificial_trees_truebase_1000_baseline,03_insert_last_root,5,1.426
artificial_trees_truebase_1000_baseline,04_insert_first_root,1,1.691
artificial_trees_truebase_1000_baseline,04_insert_first_root,2,1.653
artificial_trees_truebase_1000_baseline,04_insert_first_root,3,1.582
artificial_trees_truebase_1000_baseline,04_insert_first_root,4,1.134
artificial_trees_truebase_1000_baseline,04_insert_first_root,5,1.616
artificial_trees_truebase_1000_dewey,01_insert_last_child_under_last_root,1,3.477
artificial_trees_truebase_1000_dewey,01_insert_last_child_under_last_root,2,4.319
artificial_trees_truebase_1000_dewey,01_insert_last_child_under_last_root,3,4.196
artificial_trees_truebase_1000_dewey,01_insert_last_child_under_last_root,4,4.725
artificial_trees_truebase_1000_dewey,01_insert_last_child_under_last_root,5,3.440
artificial_trees_truebase_1000_dewey,02_insert_first_child_under_first_root,1,22.676
artificial_trees_truebase_1000_dewey,02_insert_first_child_under_first_root,2,21.066
artificial_trees_truebase_1000_dewey,02_insert_first_child_under_first_root,3,20.697
artificial_trees_truebase_1000_dewey,02_insert_first_child_under_first_root,4,21.442
artificial_trees_truebase_1000_dewey,02_insert_first_child_under_first_root,5,21.003
artificial_trees_truebase_1000_dewey,03_insert_last_root,1,2.279
artificial_trees_truebase_1000_dewey,03_insert_last_root,2,2.202
artificial_trees_truebase_1000_dewey,03_insert_last_root,3,2.469
artificial_trees_truebase_1000_dewey,03_insert_last_root,4,2.449
artificial_trees_truebase_1000_dewey,03_insert_last_root,5,2.248
artificial_trees_truebase_1000_dewey,04_insert_first_root,1,19.092
artificial_trees_truebase_1000_dewey,04_insert_first_root,2,19.269
artificial_trees_truebase_1000_dewey,04_insert_first_root,3,18.882
artificial_trees_truebase_1000_dewey,04_insert_first_root,4,20.173
artificial_trees_truebase_1000_dewey,04_insert_first_root,5,13.714
artificial_trees_truebase_1000_prepost,01_insert_last_child_under_last_root,1,3.507
artificial_trees_truebase_1000_prepost,01_insert_last_child_under_last_root,2,4.210
artificial_trees_truebase_1000_prepost,01_insert_last_child_under_last_root,3,2.991
artificial_trees_truebase_1000_prepost,01_insert_last_child_under_last_root,4,4.218
artificial_trees_truebase_1000_prepost,01_insert_last_child_under_last_root,5,4.221
artificial_trees_truebase_1000_prepost,02_insert_first_child_under_first_root,1,17.034
artificial_trees_truebase_1000_prepost,02_insert_first_child_under_first_root,2,15.140
artificial_trees_truebase_1000_prepost,02_insert_first_child_under_first_root,3,15.838
artificial_trees_truebase_1000_prepost,02_insert_first_child_under_first_root,4,11.976
artificial_trees_truebase_1000_prepost,02_insert_first_child_under_first_root,5,15.428
artificial_trees_truebase_1000_prepost,03_insert_last_root,1,2.199
artificial_trees_truebase_1000_prepost,03_insert_last_root,2,2.132
artificial_trees_truebase_1000_prepost,03_insert_last_root,3,2.052
artificial_trees_truebase_1000_prepost,03_insert_last_root,4,1.914
artificial_trees_truebase_1000_prepost,03_insert_last_root,5,1.557
