Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
ultrawide_1000,all_descendants,baseline,11.716
ultrawide_1000,all_descendants,dewey,2.813
ultrawide_1000,all_descendants,prepost,2.924
ultrawide_1000,all_children,baseline,2.332
ultrawide_1000,all_children,dewey,1.948
ultrawide_1000,all_children,prepost,2.125
ultrawide_1000,all_leaves,baseline,25.034
ultrawide_1000,all_leaves,dewey,9.61
ultrawide_1000,all_leaves,prepost,5.781
ultrawide_1000,count_descendants,baseline,14.343
ultrawide_1000,count_descendants,dewey,3.998
ultrawide_1000,count_descendants,prepost,0.902
ultrawide_1000,count_leaves,baseline,18.907
ultrawide_1000,count_leaves,dewey,6.503
ultrawide_1000,count_leaves,prepost,10.545
ultrawide_1000,check_same_subtree_true,baseline,21.03
ultrawide_1000,check_same_subtree_true,dewey,8.168
ultrawide_1000,check_same_subtree_true,prepost,8.525
ultrawide_1000,all_ancestors,baseline,14.287
ultrawide_1000,all_ancestors,dewey,4.584
ultrawide_1000,all_ancestors,prepost,5.555
ultrawide_1000,check_if_ancestor_true,baseline,54.291
ultrawide_1000,check_if_ancestor_true,dewey,2.033
ultrawide_1000,check_if_ancestor_true,prepost,1.751
ultrawide_1000,check_same_subtree_false,baseline,22.233
ultrawide_1000,check_same_subtree_false,dewey,8.772
ultrawide_1000,check_same_subtree_false,prepost,8.376
ultrawide_1000,check_if_ancestor_false,baseline,55.952
ultrawide_1000,check_if_ancestor_false,dewey,2.216
ultrawide_1000,check_if_ancestor_false,prepost,1.883
ultratall_100,all_descendants,baseline,8.704
ultratall_100,all_descendants,dewey,4.401
ultratall_100,all_descendants,prepost,5.351
ultratall_100,all_children,baseline,6.883
ultratall_100,all_children,dewey,3.805
ultratall_100,all_children,prepost,5.525
ultratall_100,all_leaves,baseline,18.691
ultratall_100,all_leaves,dewey,10.141
ultratall_100,all_leaves,prepost,8.202
ultratall_100,count_descendants,baseline,13.395
ultratall_100,count_descendants,dewey,5.356
ultratall_100,count_descendants,prepost,1.189
ultratall_100,count_leaves,baseline,18.053
ultratall_100,count_leaves,dewey,10.093
ultratall_100,count_leaves,prepost,10.379
ultratall_100,check_same_subtree_true,baseline,20.973
ultratall_100,check_same_subtree_true,dewey,12.742
ultratall_100,check_same_subtree_true,prepost,8.291
ultratall_100,all_ancestors,baseline,13.975
ultratall_100,all_ancestors,dewey,6.533
ultratall_100,all_ancestors,prepost,6.487
ultratall_100,check_if_ancestor_true,baseline,60.465
ultratall_100,check_if_ancestor_true,dewey,2.21
ultratall_100,check_if_ancestor_true,prepost,1.642
ultratall_100,check_same_subtree_false,baseline,21.044
ultratall_100,check_same_subtree_false,dewey,13.176
ultratall_100,check_same_subtree_false,prepost,7.452
ultratall_100,check_if_ancestor_false,baseline,58.034
ultratall_100,check_if_ancestor_false,dewey,2.181
ultratall_100,check_if_ancestor_false,prepost,1.897
s_all_place,all_descendants,baseline,7.615
s_all_place,all_descendants,dewey,3.242
s_all_place,all_descendants,prepost,2.473
s_all_place,all_children,baseline,3.863
s_all_place,all_children,dewey,2.551
s_all_place,all_children,prepost,2.684
s_all_place,all_leaves,baseline,21.565
s_all_place,all_leaves,dewey,7.658
s_all_place,all_leaves,prepost,5.557
s_all_place,count_descendants,baseline,14.256
s_all_place,count_descendants,dewey,11.201
s_all_place,count_descendants,prepost,1.327
s_all_place,count_leaves,baseline,19.64
s_all_place,count_leaves,dewey,15.882
s_all_place,count_leaves,prepost,11.418
s_all_place,check_same_subtree_true,baseline,17.627
s_all_place,check_same_subtree_true,dewey,10.624
s_all_place,check_same_subtree_true,prepost,7.314
s_all_place,all_ancestors,baseline,16.136
s_all_place,all_ancestors,dewey,7.348
s_all_place,all_ancestors,prepost,7.167
s_all_place,check_if_ancestor_true,baseline,55.078
s_all_place,check_if_ancestor_true,dewey,1.921
s_all_place,check_if_ancestor_true,prepost,1.945
s_all_place,check_same_subtree_false,baseline,21.894
s_all_place,check_same_subtree_false,dewey,12.875
s_all_place,check_same_subtree_false,prepost,9.386
s_all_place,check_if_ancestor_false,baseline,54.718
s_all_place,check_if_ancestor_false,dewey,2.292
s_all_place,check_if_ancestor_false,prepost,1.796
s1,all_descendants,baseline,3.908
s1,all_descendants,dewey,129.298
s1,all_descendants,prepost,58.013
s1,all_children,baseline,2.929
s1,all_children,dewey,102.13
s1,all_children,prepost,69.229
s1,all_leaves,baseline,16.987
s1,all_leaves,dewey,274.405
s1,all_leaves,prepost,85.64
s1,count_descendants,baseline,9.898
s1,count_descendants,dewey,103.837
s1,count_descendants,prepost,0.781
