graph,query,scenario,run,runtime_ms
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,4,508.992
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,5,456.687
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,1,10.294
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,2,2.413
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,3,2.310
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,4,2.293
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,5,2.664
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,1,13.124
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,2,2.600
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,3,2.482
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,4,2.829
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,5,2.628
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q04,1,11.735
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q04,2,2.598
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q04,3,2.532
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q04,4,2.940
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q04,5,2.526
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q07,1,64.957
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q07,2,1.386
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q07,3,1.352
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q07,4,2.282
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q07,5,1.230
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q07,1,45.727
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q07,2,1.200
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q07,3,0.988
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q07,4,0.955
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q07,5,1.261
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q07,1,39.188
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q07,2,1.047
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q07,3,0.910
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q07,4,0.880
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q07,5,0.908
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q08,1,8.290
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q08,2,1.294
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q08,3,1.230
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q08,4,1.222
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q08,5,1.195
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q08,1,6.933
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q08,2,1.113
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q08,3,1.060
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q08,4,1.121
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q08,5,1.134
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q08,1,7.216
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q08,2,1.518
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q08,3,1.116
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q08,4,1.136
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q08,5,1.097
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q01_q02,1,4178.050
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q01_q02,2,4267.099
