graph,query,scenario,run,runtime_ms
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,3,13.221
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,4,13.048
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,5,13.383
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,1,57.015
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,2,13.733
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,3,13.526
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,4,13.334
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,5,13.672
artificial_trees_truebase_100_baseline,01_all_descendants,q03,1,11.608
artificial_trees_truebase_100_baseline,01_all_descendants,q03,2,2.209
artificial_trees_truebase_100_baseline,01_all_descendants,q03,3,2.041
artificial_trees_truebase_100_baseline,01_all_descendants,q03,4,2.169
artificial_trees_truebase_100_baseline,01_all_descendants,q03,5,2.045
artificial_trees_truebase_100_dewey,01_all_descendants,q03,1,13.649
artificial_trees_truebase_100_dewey,01_all_descendants,q03,2,2.663
artificial_trees_truebase_100_dewey,01_all_descendants,q03,3,2.372
artificial_trees_truebase_100_dewey,01_all_descendants,q03,4,2.235
artificial_trees_truebase_100_dewey,01_all_descendants,q03,5,2.190
artificial_trees_truebase_100_prepost,01_all_descendants,q03,1,11.944
artificial_trees_truebase_100_prepost,01_all_descendants,q03,2,2.468
artificial_trees_truebase_100_prepost,01_all_descendants,q03,3,2.321
artificial_trees_truebase_100_prepost,01_all_descendants,q03,4,2.255
artificial_trees_truebase_100_prepost,01_all_descendants,q03,5,2.228
artificial_trees_truebase_100_baseline,01_all_descendants,q04,1,10.173
artificial_trees_truebase_100_baseline,01_all_descendants,q04,2,1.643
artificial_trees_truebase_100_baseline,01_all_descendants,q04,3,1.516
artificial_trees_truebase_100_baseline,01_all_descendants,q04,4,1.488
artificial_trees_truebase_100_baseline,01_all_descendants,q04,5,1.462
artificial_trees_truebase_100_dewey,01_all_descendants,q04,1,12.619
artificial_trees_truebase_100_dewey,01_all_descendants,q04,2,2.020
artificial_trees_truebase_100_dewey,01_all_descendants,q04,3,1.587
artificial_trees_truebase_100_dewey,01_all_descendants,q04,4,1.547
artificial_trees_truebase_100_dewey,01_all_descendants,q04,5,1.602
artificial_trees_truebase_100_prepost,01_all_descendants,q04,1,10.985
artificial_trees_truebase_100_prepost,01_all_descendants,q04,2,1.834
artificial_trees_truebase_100_prepost,01_all_descendants,q04,3,2.112
artificial_trees_truebase_100_prepost,01_all_descendants,q04,4,1.683
artificial_trees_truebase_100_prepost,01_all_descendants,q04,5,1.642
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,1,84.992
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,2,60.645
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,3,57.664
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,4,39.719
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,5,39.508
artificial_trees_truebase_1000_dewey,01_all_descendants,q01_q02,1,90.781
artificial_trees_truebase_1000_dewey,01_all_descendants,q01_q02,2,45.967
artificial_trees_truebase_1000_dewey,01_all_descendants,q01_q02,3,45.321
artificial_trees_truebase_1000_dewey,01_all_descendants,q01_q02,4,44.968
artificial_trees_truebase_1000_dewey,01_all_descendants,q01_q02,5,46.545
artificial_trees_truebase_1000_prepost,01_all_descendants,q01_q02,1,90.305
artificial_trees_truebase_1000_prepost,01_all_descendants,q01_q02,2,47.484
artificial_trees_truebase_1000_prepost,01_all_descendants,q01_q02,3,48.016
artificial_trees_truebase_1000_prepost,01_all_descendants,q01_q02,4,46.860
artificial_trees_truebase_1000_prepost,01_all_descendants,q01_q02,5,47.616
artificial_trees_truebase_1000_baseline,01_all_descendants,q03,1,10.337
artificial_trees_truebase_1000_baseline,01_all_descendants,q03,2,1.400
artificial_trees_truebase_1000_baseline,01_all_descendants,q03,3,1.329
artificial_trees_truebase_1000_baseline,01_all_descendants,q03,4,1.328
artificial_trees_truebase_1000_baseline,01_all_descendants,q03,5,1.289
artificial_trees_truebase_1000_dewey,01_all_descendants,q03,1,12.786
artificial_trees_truebase_1000_dewey,01_all_descendants,q03,2,1.476
artificial_trees_truebase_1000_dewey,01_all_descendants,q03,3,1.429
artificial_trees_truebase_1000_dewey,01_all_descendants,q03,4,1.380
artificial_trees_truebase_1000_dewey,01_all_descendants,q03,5,1.369
artificial_trees_truebase_1000_prepost,01_all_descendants,q03,1,10.756
artificial_trees_truebase_1000_prepost,01_all_descendants,q03,2,1.524
artificial_trees_truebase_1000_prepost,01_all_descendants,q03,3,1.479
artificial_trees_truebase_1000_prepost,01_all_descendants,q03,4,1.413
artificial_trees_truebase_1000_prepost,01_all_descendants,q03,5,1.410
artificial_trees_truebase_1000_baseline,01_all_descendants,q04,1,9.296
artificial_trees_truebase_1000_baseline,01_all_descendants,q04,2,1.171
artificial_trees_truebase_1000_baseline,01_all_descendants,q04,3,1.129
artificial_trees_truebase_1000_baseline,01_all_descendants,q04,4,1.116
artificial_trees_truebase_1000_baseline,01_all_descendants,q04,5,1.165
artificial_trees_truebase_1000_dewey,01_all_descendants,q04,1,11.513
artificial_trees_truebase_1000_dewey,01_all_descendants,q04,2,1.177
artificial_trees_truebase_1000_dewey,01_all_descendants,q04,3,1.170
artificial_trees_truebase_1000_dewey,01_all_descendants,q04,4,1.246
artificial_trees_truebase_1000_dewey,01_all_descendants,q04,5,1.143
artificial_trees_truebase_1000_prepost,01_all_descendants,q04,1,9.076
artificial_trees_truebase_1000_prepost,01_all_descendants,q04,2,2.075
artificial_trees_truebase_1000_prepost,01_all_descendants,q04,3,1.146
artificial_trees_truebase_1000_prepost,01_all_descendants,q04,4,1.134
artificial_trees_truebase_1000_prepost,01_all_descendants,q04,5,1.291
artificial_trees_truebase_10000_baseline,01_all_descendants,q01_q02,1,475.556
artificial_trees_truebase_10000_baseline,01_all_descendants,q01_q02,2,388.570
artificial_trees_truebase_10000_baseline,01_all_descendants,q01_q02,3,416.490
artificial_trees_truebase_10000_baseline,01_all_descendants,q01_q02,4,387.859
artificial_trees_truebase_10000_baseline,01_all_descendants,q01_q02,5,420.676
artificial_trees_truebase_10000_dewey,01_all_descendants,q01_q02,1,551.684
artificial_trees_truebase_10000_dewey,01_all_descendants,q01_q02,2,450.248
artificial_trees_truebase_10000_dewey,01_all_descendants,q01_q02,3,498.806
artificial_trees_truebase_10000_dewey,01_all_descendants,q01_q02,4,445.438
artificial_trees_truebase_10000_dewey,01_all_descendants,q01_q02,5,487.959
artificial_trees_truebase_10000_prepost,01_all_descendants,q01_q02,1,554.139
artificial_trees_truebase_10000_prepost,01_all_descendants,q01_q02,2,462.508
artificial_trees_truebase_10000_prepost,01_all_descendants,q01_q02,3,533.658
artificial_trees_truebase_10000_prepost,01_all_descendants,q01_q02,4,469.900
artificial_trees_truebase_10000_prepost,01_all_descendants,q01_q02,5,534.297
artificial_trees_truebase_10000_baseline,01_all_descendants,q03,1,11.312
artificial_trees_truebase_10000_baseline,01_all_descendants,q03,2,1.498
artificial_trees_truebase_10000_baseline,01_all_descendants,q03,3,1.341
artificial_trees_truebase_10000_baseline,01_all_descendants,q03,4,1.442
artificial_trees_truebase_10000_baseline,01_all_descendants,q03,5,1.308
artificial_trees_truebase_10000_dewey,01_all_descendants,q03,1,13.213
artificial_trees_truebase_10000_dewey,01_all_descendants,q03,2,1.563
artificial_trees_truebase_10000_dewey,01_all_descendants,q03,3,1.415
artificial_trees_truebase_10000_dewey,01_all_descendants,q03,4,1.381
artificial_trees_truebase_10000_dewey,01_all_descendants,q03,5,1.364
artificial_trees_truebase_10000_prepost,01_all_descendants,q03,1,11.182
artificial_trees_truebase_10000_prepost,01_all_descendants,q03,2,1.467
artificial_trees_truebase_10000_prepost,01_all_descendants,q03,3,1.376
artificial_trees_truebase_10000_prepost,01_all_descendants,q03,4,1.363
artificial_trees_truebase_10000_prepost,01_all_descendants,q03,5,1.382
artificial_trees_truebase_10000_baseline,01_all_descendants,q04,1,9.624
artificial_trees_truebase_10000_baseline,01_all_descendants,q04,2,1.249
artificial_trees_truebase_10000_baseline,01_all_descendants,q04,3,1.205
artificial_trees_truebase_10000_baseline,01_all_descendants,q04,4,1.188
artificial_trees_truebase_10000_baseline,01_all_descendants,q04,5,1.181
artificial_trees_truebase_10000_dewey,01_all_descendants,q04,1,11.788
artificial_trees_truebase_10000_dewey,01_all_descendants,q04,2,1.315
artificial_trees_truebase_10000_dewey,01_all_descendants,q04,3,1.846
artificial_trees_truebase_10000_dewey,01_all_descendants,q04,4,1.764
artificial_trees_truebase_10000_dewey,01_all_descendants,q04,5,1.792
artificial_trees_truebase_10000_prepost,01_all_descendants,q04,1,10.178
artificial_trees_truebase_10000_prepost,01_all_descendants,q04,2,2.245
artificial_trees_truebase_10000_prepost,01_all_descendants,q04,3,1.859
artificial_trees_truebase_10000_prepost,01_all_descendants,q04,4,1.844
artificial_trees_truebase_10000_prepost,01_all_descendants,q04,5,1.817
artificial_trees_truebase_100000_baseline,01_all_descendants,q01_q02,1,4254.085
artificial_trees_truebase_100000_baseline,01_all_descendants,q01_q02,2,4299.141
artificial_trees_truebase_100000_baseline,01_all_descendants,q01_q02,3,4319.690
artificial_trees_truebase_100000_baseline,01_all_descendants,q01_q02,4,4377.681
artificial_trees_truebase_100000_baseline,01_all_descendants,q01_q02,5,4469.846
artificial_trees_truebase_100000_dewey,01_all_descendants,q01_q02,1,5285.917
artificial_trees_truebase_100000_dewey,01_all_descendants,q01_q02,2,5255.665
artificial_trees_truebase_100000_dewey,01_all_descendants,q01_q02,3,5167.967
artificial_trees_truebase_100000_dewey,01_all_descendants,q01_q02,4,5280.530
artificial_trees_truebase_100000_dewey,01_all_descendants,q01_q02,5,5207.397
artificial_trees_truebase_100000_prepost,01_all_descendants,q01_q02,1,5683.633
artificial_trees_truebase_100000_prepost,01_all_descendants,q01_q02,2,5189.535
artificial_trees_truebase_100000_prepost,01_all_descendants,q01_q02,3,5310.444
artificial_trees_truebase_100000_prepost,01_all_descendants,q01_q02,4,5531.727
artificial_trees_truebase_100000_prepost,01_all_descendants,q01_q02,5,5240.408
artificial_trees_truebase_100000_baseline,01_all_descendants,q03,1,11.957
artificial_trees_truebase_100000_baseline,01_all_descendants,q03,2,2.214
artificial_trees_truebase_100000_baseline,01_all_descendants,q03,3,2.023
