Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
ultrawide_1000,check_same_subtree_false,baseline,21.477
ultrawide_1000,check_same_subtree_false,dewey,13.203
ultrawide_1000,check_same_subtree_false,prepost,8.426
ultrawide_1000,check_if_ancestor_false,baseline,32.044
ultrawide_1000,check_if_ancestor_false,dewey,1.478
ultrawide_1000,check_if_ancestor_false,prepost,1.326
ultratall_100,all_descendants,baseline,5.349
ultratall_100,all_descendants,dewey,2.0
ultratall_100,all_descendants,prepost,2.199
ultratall_100,all_children,baseline,3.539
ultratall_100,all_children,dewey,2.138
ultratall_100,all_children,prepost,3.939
ultratall_100,all_leaves,baseline,19.145
ultratall_100,all_leaves,dewey,7.87
ultratall_100,all_leaves,prepost,7.163
ultratall_100,count_descendants,baseline,12.589
ultratall_100,count_descendants,dewey,8.158
ultratall_100,count_descendants,prepost,1.315
ultratall_100,count_leaves,baseline,19.203
ultratall_100,count_leaves,dewey,16.854
ultratall_100,count_leaves,prepost,14.291
ultratall_100,check_same_subtree_true,baseline,21.425
ultratall_100,check_same_subtree_true,dewey,12.736
ultratall_100,check_same_subtree_true,prepost,7.582
ultratall_100,all_ancestors,baseline,8.298
ultratall_100,all_ancestors,dewey,5.073
ultratall_100,all_ancestors,prepost,4.961
ultratall_100,check_if_ancestor_true,baseline,25.456
ultratall_100,check_if_ancestor_true,dewey,1.631
ultratall_100,check_if_ancestor_true,prepost,1.466
ultratall_100,check_same_subtree_false,baseline,8.624
ultratall_100,check_same_subtree_false,dewey,7.517
ultratall_100,check_same_subtree_false,prepost,3.969
ultratall_100,check_if_ancestor_false,baseline,26.392
ultratall_100,check_if_ancestor_false,dewey,1.398
ultratall_100,check_if_ancestor_false,prepost,1.385
s_all_place,all_descendants,baseline,8.66
s_all_place,all_descendants,dewey,3.242
s_all_place,all_descendants,prepost,3.147
s_all_place,all_children,baseline,2.745
s_all_place,all_children,dewey,3.998
s_all_place,all_children,prepost,5.326
s_all_place,all_leaves,baseline,11.752
s_all_place,all_leaves,dewey,12.367
s_all_place,all_leaves,prepost,6.642
s_all_place,count_descendants,baseline,13.036
s_all_place,count_descendants,dewey,11.234
s_all_place,count_descendants,prepost,1.178
s_all_place,count_leaves,baseline,16.394
s_all_place,count_leaves,dewey,14.069
s_all_place,count_leaves,prepost,6.252
s_all_place,check_same_subtree_true,baseline,11.34
s_all_place,check_same_subtree_true,dewey,7.654
s_all_place,check_same_subtree_true,prepost,5.136
s_all_place,all_ancestors,baseline,10.968
s_all_place,all_ancestors,dewey,4.847
s_all_place,all_ancestors,prepost,4.791
s_all_place,check_if_ancestor_true,baseline,22.118
s_all_place,check_if_ancestor_true,dewey,1.337
s_all_place,check_if_ancestor_true,prepost,1.326
s_all_place,check_same_subtree_false,baseline,14.419
s_all_place,check_same_subtree_false,dewey,8.595
s_all_place,check_same_subtree_false,prepost,5.821
s_all_place,check_if_ancestor_false,baseline,25.552
s_all_place,check_if_ancestor_false,dewey,1.438
s_all_place,check_if_ancestor_false,prepost,1.441
s1,all_descendants,baseline,7.161
s1,all_descendants,dewey,129.146
s1,all_descendants,prepost,57.057
s1,all_children,baseline,6.864
s1,all_children,dewey,101.8
s1,all_children,prepost,59.907
s1,all_leaves,baseline,19.178
s1,all_leaves,dewey,280.239
s1,all_leaves,prepost,87.494
s1,count_descendants,baseline,9.875
s1,count_descendants,dewey,90.649
s1,count_descendants,prepost,1.111
s1,count_leaves,baseline,14.627
s1,count_leaves,dewey,242.609
s1,count_leaves,prepost,53.156
s1,check_same_subtree_true,baseline,19.459
s1,check_same_subtree_true,dewey,108.997
s1,check_same_subtree_true,prepost,203.716
s1,all_ancestors,baseline,11.125
s1,all_ancestors,dewey,209.689
s1,all_ancestors,prepost,100.936
s1,check_if_ancestor_true,baseline,54.594
s1,check_if_ancestor_true,dewey,2.222
s1,check_if_ancestor_true,prepost,1.68
s1,check_same_subtree_false,baseline,17.084
s1,check_same_subtree_false,dewey,108.926
s1,check_same_subtree_false,prepost,212.217
s1,check_if_ancestor_false,baseline,53.382
s1,check_if_ancestor_false,dewey,2.066
s1,check_if_ancestor_false,prepost,1.892
s_all_tagclass,all_descendants,baseline,4.502
s_all_tagclass,all_descendants,dewey,2.015
s_all_tagclass,all_descendants,prepost,2.294
s_all_tagclass,all_children,baseline,6.029
s_all_tagclass,all_children,dewey,5.332
s_all_tagclass,all_children,prepost,5.621
s_all_tagclass,all_leaves,baseline,17.414
s_all_tagclass,all_leaves,dewey,12.801
s_all_tagclass,all_leaves,prepost,7.83
s_all_tagclass,count_descendants,baseline,12.802
s_all_tagclass,count_descendants,dewey,10.412
s_all_tagclass,count_descendants,prepost,1.199
s_all_tagclass,count_leaves,baseline,17.443
s_all_tagclass,count_leaves,dewey,16.623
s_all_tagclass,count_leaves,prepost,12.986
s_all_tagclass,check_same_subtree_true,baseline,22.102
s_all_tagclass,check_same_subtree_true,dewey,13.635
s_all_tagclass,check_same_subtree_true,prepost,7.973
s_all_tagclass,all_ancestors,baseline,12.131
s_all_tagclass,all_ancestors,dewey,6.991
s_all_tagclass,all_ancestors,prepost,6.931
s_all_tagclass,check_if_ancestor_true,baseline,53.675
s_all_tagclass,check_if_ancestor_true,dewey,2.327
s_all_tagclass,check_if_ancestor_true,prepost,1.691
s_all_tagclass,check_same_subtree_false,baseline,21.47
s_all_tagclass,check_same_subtree_false,dewey,12.138
s_all_tagclass,check_same_subtree_false,prepost,7.973
s_all_tagclass,check_if_ancestor_false,baseline,53.046
s_all_tagclass,check_if_ancestor_false,dewey,2.265
s_all_tagclass,check_if_ancestor_false,prepost,1.903
ultratall_10000,all_descendants,baseline,91.91
ultratall_10000,all_descendants,dewey,11.014
ultratall_10000,all_descendants,prepost,9.035
ultratall_10000,all_children,baseline,6.678
ultratall_10000,all_children,dewey,8.125
ultratall_10000,all_children,prepost,8.78
ultratall_10000,all_leaves,baseline,91.162
ultratall_10000,all_leaves,dewey,19.679
ultratall_10000,all_leaves,prepost,8.737
ultratall_10000,count_descendants,baseline,70.685
ultratall_10000,count_descendants,dewey,12.115
ultratall_10000,count_descendants,prepost,1.343
ultratall_10000,count_leaves,baseline,82.027
ultratall_10000,count_leaves,dewey,22.078
ultratall_10000,count_leaves,prepost,11.399
ultratall_10000,check_same_subtree_true,baseline,22.011
ultratall_10000,check_same_subtree_true,dewey,13.298
ultratall_10000,check_same_subtree_true,prepost,11.602
ultratall_10000,all_ancestors,baseline,16.134
ultratall_10000,all_ancestors,dewey,8.714
ultratall_10000,all_ancestors,prepost,7.527
ultratall_10000,check_if_ancestor_true,baseline,56.625
ultratall_10000,check_if_ancestor_true,dewey,2.091
ultratall_10000,check_if_ancestor_true,prepost,1.818
ultratall_10000,check_same_subtree_false,baseline,25.759
ultratall_10000,check_same_subtree_false,dewey,12.22
ultratall_10000,check_same_subtree_false,prepost,10.648
ultratall_10000,check_if_ancestor_false,baseline,28.674
ultratall_10000,check_if_ancestor_false,dewey,1.475
ultratall_10000,check_if_ancestor_false,prepost,1.362
ultrawide_10,all_descendants,baseline,3.636
ultrawide_10,all_descendants,dewey,1.921
ultrawide_10,all_descendants,prepost,2.661
ultrawide_10,all_children,baseline,2.354
ultrawide_10,all_children,dewey,2.205
ultrawide_10,all_children,prepost,4.115
