Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
ultrawide_1000,count_descendants,prepost,1.531
ultrawide_1000,count_leaves,baseline,4.364
ultrawide_1000,count_leaves,dewey,3.648
ultrawide_1000,count_leaves,prepost,3.326
ultrawide_1000,check_same_subtree_true,baseline,2.057
ultrawide_1000,check_same_subtree_true,dewey,1.768
ultrawide_1000,check_same_subtree_true,prepost,1.936
ultrawide_1000,all_ancestors,baseline,2.449
ultrawide_1000,all_ancestors,dewey,2.86
ultrawide_1000,all_ancestors,prepost,2.995
ultrawide_1000,check_if_ancestor_true,baseline,1.866
ultrawide_1000,check_if_ancestor_true,dewey,1.482
ultrawide_1000,check_if_ancestor_true,prepost,1.534
ultrawide_1000,check_same_subtree_false,baseline,1.474
ultrawide_1000,check_same_subtree_false,dewey,1.323
ultrawide_1000,check_same_subtree_false,prepost,1.359
ultrawide_1000,check_if_ancestor_false,baseline,1.99
ultrawide_1000,check_if_ancestor_false,dewey,1.785
ultrawide_1000,check_if_ancestor_false,prepost,1.736
ultratall_100,all_descendants,baseline,5.655
ultratall_100,all_descendants,dewey,5.824
ultratall_100,all_descendants,prepost,5.94
ultratall_100,all_children,baseline,1.303
ultratall_100,all_children,dewey,1.255
ultratall_100,all_children,prepost,1.337
ultratall_100,all_leaves,baseline,3.97
ultratall_100,all_leaves,dewey,3.928
ultratall_100,all_leaves,prepost,4.189
ultratall_100,count_descendants,baseline,1.885
ultratall_100,count_descendants,dewey,1.588
ultratall_100,count_descendants,prepost,1.317
ultratall_100,count_leaves,baseline,1.409
ultratall_100,count_leaves,dewey,1.359
ultratall_100,count_leaves,prepost,0.997
ultratall_100,check_same_subtree_true,baseline,1.173
ultratall_100,check_same_subtree_true,dewey,0.801
ultratall_100,check_same_subtree_true,prepost,0.978
ultratall_100,all_ancestors,baseline,1.363
ultratall_100,all_ancestors,dewey,1.457
ultratall_100,all_ancestors,prepost,1.291
ultratall_100,check_if_ancestor_true,baseline,1.432
ultratall_100,check_if_ancestor_true,dewey,0.948
ultratall_100,check_if_ancestor_true,prepost,1.088
ultratall_100,check_same_subtree_false,baseline,0.903
ultratall_100,check_same_subtree_false,dewey,0.749
ultratall_100,check_same_subtree_false,prepost,0.82
ultratall_100,check_if_ancestor_false,baseline,0.891
ultratall_100,check_if_ancestor_false,dewey,0.757
ultratall_100,check_if_ancestor_false,prepost,0.758
s_all_place,all_descendants,baseline,30.406
s_all_place,all_descendants,dewey,34.061
s_all_place,all_descendants,prepost,34.768
s_all_place,all_children,baseline,2.303
s_all_place,all_children,dewey,3.323
s_all_place,all_children,prepost,3.077
s_all_place,all_leaves,baseline,30.643
s_all_place,all_leaves,dewey,33.937
s_all_place,all_leaves,prepost,35.578
s_all_place,count_descendants,baseline,1.295
s_all_place,count_descendants,dewey,1.08
s_all_place,count_descendants,prepost,1.073
s_all_place,count_leaves,baseline,2.473
s_all_place,count_leaves,dewey,2.374
s_all_place,count_leaves,prepost,1.619
s_all_place,check_same_subtree_true,baseline,2.146
s_all_place,check_same_subtree_true,dewey,1.084
s_all_place,check_same_subtree_true,prepost,1.292
s_all_place,all_ancestors,baseline,1.555
s_all_place,all_ancestors,dewey,1.772
s_all_place,all_ancestors,prepost,2.077
s_all_place,check_if_ancestor_true,baseline,1.05
s_all_place,check_if_ancestor_true,dewey,0.849
s_all_place,check_if_ancestor_true,prepost,0.763
s_all_place,check_same_subtree_false,baseline,1.958
s_all_place,check_same_subtree_false,dewey,0.673
s_all_place,check_same_subtree_false,prepost,0.737
s_all_place,check_if_ancestor_false,baseline,0.762
s_all_place,check_if_ancestor_false,dewey,0.635
s_all_place,check_if_ancestor_false,prepost,0.646
s1,all_descendants,baseline,1.957
s1,all_descendants,dewey,1.971
s1,all_descendants,prepost,1.62
s1,all_children,baseline,0.887
s1,all_children,dewey,0.95
s1,all_children,prepost,1.118
s1,all_leaves,baseline,1.228
s1,all_leaves,dewey,1.287
s1,all_leaves,prepost,0.985
s1,count_descendants,baseline,0.824
s1,count_descendants,dewey,0.937
s1,count_descendants,prepost,0.765
s1,count_leaves,baseline,0.917
s1,count_leaves,dewey,1.061
s1,count_leaves,prepost,0.827
s1,check_same_subtree_true,baseline,1.633
s1,check_same_subtree_true,dewey,1.203
s1,check_same_subtree_true,prepost,456.286
s1,all_ancestors,baseline,2.041
s1,all_ancestors,dewey,226.094
s1,all_ancestors,prepost,457.263
s1,check_if_ancestor_true,baseline,1.072
s1,check_if_ancestor_true,dewey,0.761
s1,check_if_ancestor_true,prepost,0.826
s1,check_same_subtree_false,baseline,1.432
s1,check_same_subtree_false,dewey,1.171
s1,check_same_subtree_false,prepost,452.133
s1,check_if_ancestor_false,baseline,1.096
s1,check_if_ancestor_false,dewey,0.745
s1,check_if_ancestor_false,prepost,0.723
s_all_tagclass,all_descendants,baseline,4.507
s_all_tagclass,all_descendants,dewey,5.529
s_all_tagclass,all_descendants,prepost,4.777
s_all_tagclass,all_children,baseline,0.999
s_all_tagclass,all_children,dewey,1.221
s_all_tagclass,all_children,prepost,1.216
s_all_tagclass,all_leaves,baseline,4.045
s_all_tagclass,all_leaves,dewey,3.849
s_all_tagclass,all_leaves,prepost,3.619
s_all_tagclass,count_descendants,baseline,0.892
s_all_tagclass,count_descendants,dewey,0.915
s_all_tagclass,count_descendants,prepost,0.928
s_all_tagclass,count_leaves,baseline,1.297
s_all_tagclass,count_leaves,dewey,1.025
s_all_tagclass,count_leaves,prepost,0.795
s_all_tagclass,check_same_subtree_true,baseline,1.623
s_all_tagclass,check_same_subtree_true,dewey,0.956
s_all_tagclass,check_same_subtree_true,prepost,0.809
s_all_tagclass,all_ancestors,baseline,1.341
s_all_tagclass,all_ancestors,dewey,1.07
s_all_tagclass,all_ancestors,prepost,1.157
s_all_tagclass,check_if_ancestor_true,baseline,1.1
s_all_tagclass,check_if_ancestor_true,dewey,0.954
s_all_tagclass,check_if_ancestor_true,prepost,0.756
s_all_tagclass,check_same_subtree_false,baseline,0.974
s_all_tagclass,check_same_subtree_false,dewey,0.669
s_all_tagclass,check_same_subtree_false,prepost,0.759
s_all_tagclass,check_if_ancestor_false,baseline,0.773
s_all_tagclass,check_if_ancestor_false,dewey,0.654
s_all_tagclass,check_if_ancestor_false,prepost,0.646
ultratall_10000,all_descendants,baseline,329.866
ultratall_10000,all_descendants,dewey,405.941
ultratall_10000,all_descendants,prepost,403.629
ultratall_10000,all_children,baseline,2.023
ultratall_10000,all_children,dewey,11.063
ultratall_10000,all_children,prepost,8.069
ultratall_10000,all_leaves,baseline,194.911
ultratall_10000,all_leaves,dewey,307.17
ultratall_10000,all_leaves,prepost,213.054
ultratall_10000,count_descendants,baseline,8.114
ultratall_10000,count_descendants,dewey,4.197
ultratall_10000,count_descendants,prepost,3.639
ultratall_10000,count_leaves,baseline,17.106
ultratall_10000,count_leaves,dewey,15.716
ultratall_10000,count_leaves,prepost,6.137
ultratall_10000,check_same_subtree_true,baseline,2.348
