graph,query,scenario,run,runtime_ms
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,3,1.683
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,4,1.667
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,5,2.225
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,1,4.790
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,2,3.443
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,3,3.298
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,4,3.498
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,5,3.628
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,1,1.587
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,2,1.722
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,3,1.507
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,4,1.700
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,5,1.597
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,1,1.834
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,2,1.781
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,3,1.536
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,4,1.714
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,5,1.671
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,1,21.992
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,2,17.116
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,3,19.335
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,4,20.703
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,5,21.025
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,1,0.974
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,2,0.837
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,3,0.836
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,4,0.871
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,5,0.844
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,1,1.026
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,2,0.940
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,3,0.881
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,4,0.851
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,5,0.891
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,1,21.123
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,2,17.078
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,3,18.594
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,4,18.782
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,5,17.716
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,1,1.087
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,2,0.974
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,3,0.850
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,4,0.835
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,5,0.826
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,1,1.038
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,2,0.898
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,3,0.885
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,4,0.868
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,5,0.840
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,1,30.162
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,2,24.165
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,3,24.882
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,4,26.015
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,5,22.061
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,1,4.919
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,2,10.471
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,3,6.387
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,4,10.290
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,5,10.587
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,1,4.700
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,2,4.953
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,3,8.991
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,4,9.012
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,5,8.581
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,1,4.280
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,2,2.561
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,3,2.958
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,4,3.206
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,5,2.642
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,1,4.183
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,2,4.574
