graph,query,scenario,run,runtime_ms
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,2,1.527
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,3,1.512
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,4,1.509
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,5,1.491
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,1,112240.462
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,2,112229.155
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,3,112261.471
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,4,112279.021
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,5,112250.550
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,1,115.150
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,2,108.701
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,3,114.708
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,4,107.953
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q04,5,115.167
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,1,14.697
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,2,8.642
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,3,11.597
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,4,7.973
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,5,7.896
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,1,5.704
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,2,5.889
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,3,4.274
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,4,5.870
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q04,5,5.655
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,1,12.882
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,2,11.000
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,3,10.905
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,4,10.867
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,5,10.836
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q04,1,1.902
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q04,2,1.785
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q04,3,1.860
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q04,4,1.909
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q04,5,1.900
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q07,1,20.206
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q07,2,18.586
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q07,3,19.078
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q07,4,19.120
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q07,5,19.108
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q08,1,19.112
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q08,2,19.063
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q08,3,18.490
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q08,4,17.591
artificial_trees_ultrawide_10000_baseline,11_check_if_ancestor,q08,5,17.386
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q07,1,1.999
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q07,2,1.784
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q07,3,1.724
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q07,4,1.704
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q07,5,1.703
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q08,1,1.753
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q08,2,1.786
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q08,3,1.692
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q08,4,1.731
artificial_trees_ultrawide_10000_dewey,11_check_if_ancestor,q08,5,1.756
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q07,1,2.143
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q07,2,1.840
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q07,3,1.768
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q07,4,1.774
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q07,5,1.747
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q08,1,1.840
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q08,2,1.756
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q08,3,1.732
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q08,4,1.723
artificial_trees_ultrawide_10000_prepost,11_check_if_ancestor,q08,5,1.713
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q01_q02,1,23750824.047
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q01_q02,2,23715349.689
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q01_q02,3,23761476.332
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q01_q02,4,23750732.458
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q01_q02,5,23803788.214
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q04,1,592.783
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q04,2,575.082
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q04,3,574.877
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q04,4,575.098
artificial_trees_ultrawide_100000_baseline,01_all_descendants,q04,5,580.870
artificial_trees_ultrawide_100000_dewey,01_all_descendants,q01_q02,1,90.491
artificial_trees_ultrawide_100000_dewey,01_all_descendants,q01_q02,2,76.364
artificial_trees_ultrawide_100000_dewey,01_all_descendants,q01_q02,3,76.547
artificial_trees_ultrawide_100000_dewey,01_all_descendants,q01_q02,4,76.218
artificial_trees_ultrawide_100000_dewey,01_all_descendants,q01_q02,5,76.086
artificial_trees_ultrawide_100000_dewey,01_all_descendants,q04,1,37.953
artificial_trees_ultrawide_100000_dewey,01_all_descendants,q04,2,37.430
artificial_trees_ultrawide_100000_dewey,01_all_descendants,q04,3,37.752
artificial_trees_ultrawide_100000_dewey,01_all_descendants,q04,4,32.807
artificial_trees_ultrawide_100000_dewey,01_all_descendants,q04,5,37.432
artificial_trees_ultrawide_100000_prepost,01_all_descendants,q01_q02,1,77.065
artificial_trees_ultrawide_100000_prepost,01_all_descendants,q01_q02,2,74.066
artificial_trees_ultrawide_100000_prepost,01_all_descendants,q01_q02,3,74.731
artificial_trees_ultrawide_100000_prepost,01_all_descendants,q01_q02,4,66.328
artificial_trees_ultrawide_100000_prepost,01_all_descendants,q01_q02,5,74.205
artificial_trees_ultrawide_100000_prepost,01_all_descendants,q04,1,2.181
artificial_trees_ultrawide_100000_prepost,01_all_descendants,q04,2,1.991
artificial_trees_ultrawide_100000_prepost,01_all_descendants,q04,3,1.945
artificial_trees_ultrawide_100000_prepost,01_all_descendants,q04,4,1.791
artificial_trees_ultrawide_100000_prepost,01_all_descendants,q04,5,1.452
artificial_trees_ultrawide_100000_baseline,11_check_if_ancestor,q07,1,79.317
artificial_trees_ultrawide_100000_baseline,11_check_if_ancestor,q07,2,79.269
artificial_trees_ultrawide_100000_baseline,11_check_if_ancestor,q07,3,83.397
artificial_trees_ultrawide_100000_baseline,11_check_if_ancestor,q07,4,80.847
artificial_trees_ultrawide_100000_baseline,11_check_if_ancestor,q07,5,79.819
artificial_trees_ultrawide_100000_baseline,11_check_if_ancestor,q08,1,75.948
artificial_trees_ultrawide_100000_baseline,11_check_if_ancestor,q08,2,81.266
artificial_trees_ultrawide_100000_baseline,11_check_if_ancestor,q08,3,76.410
artificial_trees_ultrawide_100000_baseline,11_check_if_ancestor,q08,4,81.889
artificial_trees_ultrawide_100000_baseline,11_check_if_ancestor,q08,5,81.240
artificial_trees_ultrawide_100000_dewey,11_check_if_ancestor,q07,1,2.198
artificial_trees_ultrawide_100000_dewey,11_check_if_ancestor,q07,2,1.944
artificial_trees_ultrawide_100000_dewey,11_check_if_ancestor,q07,3,1.898
artificial_trees_ultrawide_100000_dewey,11_check_if_ancestor,q07,4,1.856
artificial_trees_ultrawide_100000_dewey,11_check_if_ancestor,q07,5,1.837
artificial_trees_ultrawide_100000_dewey,11_check_if_ancestor,q08,1,1.914
artificial_trees_ultrawide_100000_dewey,11_check_if_ancestor,q08,2,1.835
artificial_trees_ultrawide_100000_dewey,11_check_if_ancestor,q08,3,1.811
artificial_trees_ultrawide_100000_dewey,11_check_if_ancestor,q08,4,1.833
artificial_trees_ultrawide_100000_dewey,11_check_if_ancestor,q08,5,1.784
artificial_trees_ultrawide_100000_prepost,11_check_if_ancestor,q07,1,2.077
artificial_trees_ultrawide_100000_prepost,11_check_if_ancestor,q07,2,1.758
artificial_trees_ultrawide_100000_prepost,11_check_if_ancestor,q07,3,1.811
artificial_trees_ultrawide_100000_prepost,11_check_if_ancestor,q07,4,1.825
artificial_trees_ultrawide_100000_prepost,11_check_if_ancestor,q07,5,1.748
artificial_trees_ultrawide_100000_prepost,11_check_if_ancestor,q08,1,2.080
artificial_trees_ultrawide_100000_prepost,11_check_if_ancestor,q08,2,1.890
artificial_trees_ultrawide_100000_prepost,11_check_if_ancestor,q08,3,1.790
artificial_trees_ultrawide_100000_prepost,11_check_if_ancestor,q08,4,1.787
artificial_trees_ultrawide_100000_prepost,11_check_if_ancestor,q08,5,1.790
snb_sf1_comment_baseline,01_all_descendants,q01,1,92166.716
snb_sf1_comment_baseline,01_all_descendants,q01,2,91650.013
snb_sf1_comment_baseline,01_all_descendants,q01,3,91997.459
snb_sf1_comment_baseline,01_all_descendants,q01,4,91662.895
snb_sf1_comment_baseline,01_all_descendants,q01,5,92813.278
snb_sf1_comment_baseline,01_all_descendants,q04,1,22456.771
snb_sf1_comment_baseline,01_all_descendants,q04,2,22287.544
snb_sf1_comment_baseline,01_all_descendants,q04,3,22390.973
snb_sf1_comment_baseline,01_all_descendants,q04,4,22379.864
snb_sf1_comment_baseline,01_all_descendants,q04,5,22477.315
snb_sf1_comment_dewey,01_all_descendants,q01,1,1515.161
snb_sf1_comment_dewey,01_all_descendants,q01,2,689.761
snb_sf1_comment_dewey,01_all_descendants,q01,3,680.986
snb_sf1_comment_dewey,01_all_descendants,q01,4,677.958
snb_sf1_comment_dewey,01_all_descendants,q01,5,679.575
snb_sf1_comment_dewey,01_all_descendants,q04,1,683.271
snb_sf1_comment_dewey,01_all_descendants,q04,2,724.077
snb_sf1_comment_dewey,01_all_descendants,q04,3,727.837
snb_sf1_comment_dewey,01_all_descendants,q04,4,724.333
snb_sf1_comment_dewey,01_all_descendants,q04,5,716.632
snb_sf1_comment_prepost,01_all_descendants,q01,1,2.670
snb_sf1_comment_prepost,01_all_descendants,q01,2,2.029
snb_sf1_comment_prepost,01_all_descendants,q01,3,1.951
snb_sf1_comment_prepost,01_all_descendants,q01,4,1.913
snb_sf1_comment_prepost,01_all_descendants,q01,5,1.777
snb_sf1_comment_prepost,01_all_descendants,q04,1,1.979
snb_sf1_comment_prepost,01_all_descendants,q04,2,2.059
snb_sf1_comment_prepost,01_all_descendants,q04,3,2.204
snb_sf1_comment_prepost,01_all_descendants,q04,4,2.021
snb_sf1_comment_prepost,01_all_descendants,q04,5,1.959
snb_sf1_comment_baseline,11_check_if_ancestor,q07,1,14648.578
snb_sf1_comment_baseline,11_check_if_ancestor,q07,2,14802.779
snb_sf1_comment_baseline,11_check_if_ancestor,q07,3,14593.517
snb_sf1_comment_baseline,11_check_if_ancestor,q07,4,14648.588
snb_sf1_comment_baseline,11_check_if_ancestor,q07,5,14788.906
snb_sf1_comment_baseline,11_check_if_ancestor,q08,1,14623.777
snb_sf1_comment_baseline,11_check_if_ancestor,q08,2,14748.450
snb_sf1_comment_baseline,11_check_if_ancestor,q08,3,14582.521
snb_sf1_comment_baseline,11_check_if_ancestor,q08,4,14575.697
snb_sf1_comment_baseline,11_check_if_ancestor,q08,5,14475.132
snb_sf1_comment_dewey,11_check_if_ancestor,q07,1,2.151
snb_sf1_comment_dewey,11_check_if_ancestor,q07,2,2.001
snb_sf1_comment_dewey,11_check_if_ancestor,q07,3,2.174
snb_sf1_comment_dewey,11_check_if_ancestor,q07,4,2.020
snb_sf1_comment_dewey,11_check_if_ancestor,q07,5,1.831
snb_sf1_comment_dewey,11_check_if_ancestor,q08,1,2.137
snb_sf1_comment_dewey,11_check_if_ancestor,q08,2,2.127
snb_sf1_comment_dewey,11_check_if_ancestor,q08,3,1.892
snb_sf1_comment_dewey,11_check_if_ancestor,q08,4,2.070
snb_sf1_comment_dewey,11_check_if_ancestor,q08,5,2.119
snb_sf1_comment_prepost,11_check_if_ancestor,q07,1,1.954
snb_sf1_comment_prepost,11_check_if_ancestor,q07,2,1.860
snb_sf1_comment_prepost,11_check_if_ancestor,q07,3,2.012
snb_sf1_comment_prepost,11_check_if_ancestor,q07,4,1.517
snb_sf1_comment_prepost,11_check_if_ancestor,q07,5,1.471
snb_sf1_comment_prepost,11_check_if_ancestor,q08,1,1.991
snb_sf1_comment_prepost,11_check_if_ancestor,q08,2,1.883
snb_sf1_comment_prepost,11_check_if_ancestor,q08,3,1.781
snb_sf1_comment_prepost,11_check_if_ancestor,q08,4,1.814
snb_sf1_comment_prepost,11_check_if_ancestor,q08,5,1.767
snb_sf1_place_baseline,01_all_descendants,q01_q02,1,16898.137
snb_sf1_place_baseline,01_all_descendants,q01_q02,2,16825.086
snb_sf1_place_baseline,01_all_descendants,q01_q02,3,17770.282
snb_sf1_place_baseline,01_all_descendants,q01_q02,4,16834.229
snb_sf1_place_baseline,01_all_descendants,q01_q02,5,16838.769
snb_sf1_place_baseline,01_all_descendants,q04,1,14400.054
snb_sf1_place_baseline,01_all_descendants,q04,2,14437.540
snb_sf1_place_baseline,01_all_descendants,q04,3,14713.319
snb_sf1_place_baseline,01_all_descendants,q04,4,14569.619
snb_sf1_place_baseline,01_all_descendants,q04,5,14506.638
snb_sf1_place_dewey,01_all_descendants,q01_q02,1,3.753
snb_sf1_place_dewey,01_all_descendants,q01_q02,2,2.706
snb_sf1_place_dewey,01_all_descendants,q01_q02,3,2.668
snb_sf1_place_dewey,01_all_descendants,q01_q02,4,2.982
snb_sf1_place_dewey,01_all_descendants,q01_q02,5,2.448
snb_sf1_place_dewey,01_all_descendants,q04,1,1.606
snb_sf1_place_dewey,01_all_descendants,q04,2,1.554
snb_sf1_place_dewey,01_all_descendants,q04,3,2.267
